application_id_eri,application_id,info_source,applicant_id_eri,applicant_id,application_status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_13,CZL 4,Historic,App_31,None,,MISSING,2014-23-12,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_14,MISSING,Call,App_33,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,FD inspected home and approved her keeping the 5 birds bc all of them were very healthy and living in good conditions.,NA
Apply_15,CZL 35,Call,App_34,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_16,MISSING,Call,App_36,381.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_17,CZL 73,Historic,App_40,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_18,MISSING,Historic,App_43,194.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_19,CZL 135,Historic,App_47,None,,MISSING,2016-10-21 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_20,MISSING,Historic,App_49,93.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_21,MISSING,Historic,App_49,93.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_22,MISSING,Historic,App_49,93.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_23,MISSING,Historic,App_49,93.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_24,MISSING,Call,App_54,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_25,CZL 66,Historic,App_56,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_26,CZL 74,Historic,App_57,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_27,MISSING,Call,App_58,211.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fairly easy,NA
Apply_28,MISSING,Call,App_58,211.0,,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Fairly easy,NA
Apply_29,CZL 81,Historic,App_60,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_30,MISSING,Call,App_64,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Straightforward,NA
Apply_31,MISSING,Call,App_65,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_32,CZL 100,Historic,App_68,None,,MISSING,2016-07-18 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_33,CZL 67,Historic,App_74,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_34,MISSING,Historic,App_79,190.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_35,MISSING,Call,App_80,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Miss Lotiff went to the school where FD reached and were registering parrots.,NA
Apply_36,CZL 154*,Historic,App_81,None,,MISSING,2017-07-13 00:00:00,Yes,MISSING,MISSING,No,NA,NA,MISSING,NA
