applicant_id_eri,bird_id_eri,banded,band_number,permit_id,species_id,Type of parrot(provided by applicant),Sex,parrot_age_description,parrot_age_months,date_parrot_age_described,pet_name,period_of_ownership_months,period_of_ownership_years,obtain_by,town_obtained,district_obtain,enclosure_type,cage_location,cage_size_feet,shared_separate,Comments
App_1735,Bird_1923,,MISSING,MISSING,MISSING,Parrot,MISSING,20.0,240.0,Application,Crytal Pariente,240.0,20.0,gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1736,Bird_1924,,MISSING,MISSING,MISSING,MISSING,MISSING,2.5,30.0,Application,Ziggy,30.0,2.5,Rescued,MISSING,MISSING,Cage,MISSING,MISSING,Shared,
App_1736,Bird_1925,,MISSING,MISSING,MISSING,MISSING,MISSING,2.5,30.0,Application,Gordo,30.0,2.5,Rescued,MISSING,MISSING,Cage,MISSING,MISSING,Shared,
App_1736,Bird_1926,,MISSING,MISSING,MISSING,MISSING,MISSING,2.5,30.0,Application,Bro,30.0,2.5,Rescued,MISSING,MISSING,Cage,MISSING,MISSING,Shared,
App_1737,Bird_1927,,MISSING,MISSING,3.0,White-fronted Parrot,Male,13.0,156.0,Application,Alejo,156.0,13.0,Taken from the wild,MISSING,MISSING,Cage,Indoor,MISSING,NA,Fell into the yard and saved from a dog attack
App_1738,Bird_1928,,MISSING,MISSING,MISSING,Parrot,MISSING,1.0,12.0,Application,MISSING,12.0,1.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1739,Bird_1929,,MISSING,MISSING,1.0,Red-lored Parrot,Male,1.0,12.0,Application,Arturo Mayen,12.0,1.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1739,Bird_1930,,MISSING,MISSING,MISSING,Aztec Parakeet,Male,1.0,12.0,Application,Ramon Mayen,12.0,1.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1740,Bird_1931,,MISSING,MISSING,1.0,Red-lored Parrot,Male,2.0,24.0,Application,Pepito,24.0,2.0,Found,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1741,Bird_1932,,MISSING,MISSING,6.0,Yellow-lored Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pauly,3.0,0.0,Rescued,MISSING,MISSING,Free,NA,NA,NA,"Saved from dog, is kept indoor in the living room"
App_1742,Bird_1933,,MISSING,MISSING,MISSING,Parrot,Male,3.0,36.0,Application,Paco,24.0,2.0,Found,MISSING,MISSING,Free/Caged,MISSING,53.0,NA,Lives inside house at night and cage at night
App_1743,Bird_1934,,MISSING,MISSING,3.0,White-fronted Parrot,MISSING,MISSING,MISSING,Application,Paquito,12.0,1.0,Gifted,MISSING,MISSING,Free/Caged,MISSING,MISSING,NA,
App_1744,Bird_1935,,MISSING,MISSING,MISSING,MISSING,MISSING,2.0,22.0,Application,Polly,2.0,22.0,Bought,MISSING,MISSING,Free/Caged,MISSING,MISSING,NA,Caged at night. Free during the day. The phone # only has whatsapp
App_1745,Bird_1936,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Application,Polly,24.0,2.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1745,Bird_1937,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Application,Pancho,24.0,2.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
