eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
Bird_1,NULL,Historic,false,App_2,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_2,NULL,Call,NULL,App_3,NULL,NULL,NULL,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,2024-12-13 00:00:00,150,Call date,Bought,Unknown,Unknown,Polly,Female,Makes nests,2024-12-13 00:00:00,150,Call date,true,NULL,Looks healthy,"Parrot is always saying applicant's name. He follows Mr. Abel all over the house. When visitors come into the house, he chases them.","Applicant reported have a permit; Agreed to send a photo of permit, however, later indicated that it wasn't found"
Bird_3,NULL,Historic,true,App_4,CWP FD 052,67,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.0,576,Application date,NULL,NULL,NULL,NULL,NULL
Bird_4,197.0,Call,true,App_5,CWP FD 228,201,Apply_1,NULL,NULL,NULL,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,9.0,108,Call date,Rescued,NULL,NULL,Paquito,NULL,NULL,9.0,108,Call date,true,NULL,Hard to tell as pictures are not clear,NULL,"One parrot died yrs back. Paquito is still alive but is unable to identify bc the parrot doesnt allow her to touch him/her and therefore can't see band #. Also, she lost/misplaced the permit."
Bird_5,198.0,Call,true,App_5,CWP FD 229,201,Apply_1,NULL,NULL,NULL,false,Died,Years ago,DFC area,Call date,NULL,NULL,NULL,Red-lored Parrot,1,Yes,9.0,108,Call date,Rescued,NULL,NULL,Rosita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"One parrot died yrs back. Paquito is still alive but is unable to identify bc the parrot doesnt allow her to touch him/her and therefore can't see band #. Also, she lost/misplaced the permit."
Bird_6,NULL,Historic,false,App_6,NULL,NULL,Apply_2,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_7,NULL,Historic,true,App_10,GOB A 238,35,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Quate,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_8,NULL,Historic,false,App_12,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_9,NULL,Historic,false,App_13,NULL,NULL,Apply_4,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_10,NULL,Historic,false,App_13,NULL,NULL,Apply_4,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_11,260.0,Historic,true,App_14,CWP FD 373,455,Apply_5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Polly,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_12,NULL,Historic,false,App_15,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,6.0,72,Application date,NULL,NULL,NULL,NULL,bought from a little boy
Bird_13,NULL,Historic,false,App_15,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_14,NULL,Historic,false,App_15,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_15,NULL,Historic,false,App_16,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_16,NULL,Historic,false,App_17,NULL,NULL,Apply_6,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_17,NULL,Historic,false,App_17,NULL,NULL,Apply_6,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_18,NULL,Call,true,App_18,GOB A 211,12,Apply_7,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,6.0,72,Call date,Bought,Unknown,Unknown,Marcy,Female,Several persons said,7.0,84,Call date,true,NULL,Picture is not clear,NULL,Marcy eats very well and is always happy
Bird_19,NULL,Call,false,App_20,NULL,NULL,Apply_8,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,Yes,2024-07-08 00:00:00,90,Call date,Gifted,Belize City,Belize,Tiko,Male,"Google said if it has eyelashe s it's a girl, so she assumed it's a boy",2024-07-08 00:00:00,90,Call date,true,Eats very well,Looks healthy,NULL,NULL
Bird_20,NULL,Historic,false,App_21,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_21,NULL,Historic,false,App_21,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Lorito,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_22,NULL,Historic,false,App_21,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Paully,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_23,NULL,Call,false,App_24,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Flew away,U,U,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,LORENZO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_24,NULL,Call,false,App_29,NULL,NULL,NULL,NULL,NULL,SanIg,false,Flew away,Several years ago,NULL,Call date,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_25,NULL,Call,true,App_33,CWP FD 174,405,Apply_14,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,6.0,72,Call date,Gifted,Unknown,Unknown,Kiki,Male,NULL,6.0,72,Call date,true,Bright shiny feathers,Looks healthy,NULL,NULL
Bird_26,NULL,Call,false,App_33,NULL,NULL,Apply_14,NULL,NULL,Belmopan,false,Flew away,Several years ago,Belmopan,Call date,NULL,NULL,NULL,Yellow-lored Parrot,6,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Kiki,NULL,NULL,5 Years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_27,NULL,Call,false,App_33,NULL,NULL,Apply_14,NULL,NULL,Belmopan,false,Stolen,Several years ago,Belmopan,Call date,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Panchita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_28,NULL,Call,false,App_33,NULL,NULL,Apply_14,NULL,NULL,Belmopan,false,Flew away,Several years ago,Belmopan,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Lori,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_29,NULL,Call,false,App_33,NULL,NULL,Apply_14,NULL,NULL,Belmopan,false,Stolen,Several years ago,Belmopan,Call date,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Keke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_30,NULL,Call,false,App_34,NULL,NULL,Apply_15,NULL,NULL,Orange Walk,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,30.0,360,Call date,Gifted,Corozal Town,Corozal,Polly,Unknown,NULL,30.0,360,Call date,true,NULL,NULL,NULL,NULL
Bird_31,322.0,Call,true,App_36,GOB A 514,1214,Apply_16,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Blue-headed Parrot,14,NULL,16.0,192,Call date,Bought,Unknown,Unknown,Paquito,Female,Only likes males,16.0,192,Call date,true,NULL,NULL,NULL,Doesn't get sick
Bird_32,NULL,Historic,false,App_40,NULL,NULL,Apply_17,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_33,101.0,Call,true,App_43,CWP FD 564,70,Apply_18,NULL,NULL,SanIg,false,Died,2024-01-01 00:00:00,#11 Guadalupe St,Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Died due to a flu
Bird_34,102.0,Call,true,App_43,CWP FD 565,70,Apply_18,NULL,NULL,SanIg,false,Died,2024-01-01 00:00:00,#11 Guadalupe St,Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Died due to a flu
Bird_35,NULL,Call,true,App_44,CWP FD 612,410,NULL,NULL,NULL,Belmopan,false,Stolen,Several years ago,#17 Zultana St Las Flores,Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Panchito,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red number
Bird_36,NULL,Historic,false,App_45,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,stolen December 2020
Bird_37,NULL,Historic,false,App_45,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,stolen December 2020
Bird_38,NULL,Historic,false,App_45,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,stolen December 2020
Bird_39,NULL,Historic,false,App_45,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,stolen December 2020
Bird_40,NULL,Historic,false,App_45,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,stolen December 2020
Bird_41,NULL,Historic,false,App_46,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Tweety,NULL,NULL,4.0,48,Application date,NULL,NULL,NULL,NULL,NULL
Bird_42,NULL,Historic,false,App_48,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Bety,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_43,25.0,Historic,true,App_49,CWP FD 004,10,Apply_20,NULL,2000-01-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Acosta,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Cancelled Entry
Bird_44,26.0,Historic,true,App_49,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_1809,27.0,Historic,true,App_49,CWP FD 501,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_1810,74.0,Historic,true,App_49,4.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_1811,81.0,Historic,true,App_49,CWP FD 501,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_45,NULL,Historic,false,App_50,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,"Bought, gifted",NULL,NULL,Larry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_46,NULL,Historic,false,App_50,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,"Bought, gifted",NULL,NULL,Chiney,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_47,NULL,Historic,false,App_50,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,"Bought, gifted",NULL,NULL,Yoyo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_48,NULL,Historic,false,App_51,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Found,NULL,NULL,KUKITA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_49,NULL,Historic,false,App_52,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Zacky,NULL,NULL,3 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_50,NULL,Historic,false,App_52,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Rio,NULL,NULL,1yr 6mnth,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_51,NULL,Historic,false,App_53,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,4 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_52,NULL,Call,false,App_54,NULL,NULL,Apply_24,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pretty Sky,Unknown,NULL,Unknown,NULL,NULL,true,NULL,NULL,NULL,NULL
Bird_53,NULL,Historic,false,App_55,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,5.0,60,Application date,NULL,NULL,NULL,NULL,NULL
Bird_54,NULL,Historic,false,App_56,NULL,NULL,Apply_25,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_55,NULL,Historic,false,App_56,NULL,NULL,Apply_25,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_56,NULL,Historic,false,App_57,NULL,NULL,Apply_26,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_57,107.0,Call,true,App_58,CWP FD 058,75,Apply_27,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,NULL,NULL,NULL,NULL,Unknown,Unknown,No name,Unknown,NULL,Unknown,NULL,NULL,true,NULL,Hard to tell from picture,NULL,Has one red lored and 1 yellow head. Previously there was another yellow headed parrot with band GOB A 233 associated iwth this applicant.
Bird_58,108.0,Call,true,App_58,CWP FD 057,75,Apply_27,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,NULL,NULL,NULL,NULL,Unknown,Unknown,No name,Unknown,NULL,Unknown,NULL,NULL,true,NULL,Looks healthy,NULL,NULL
Bird_59,NULL,Call,NULL,App_769,NULL,NULL,NULL,NULL,NULL,NULL,false,Flew away,Several years ago,5 Miles,Call date,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_60,NULL,Historic,false,App_60,NULL,NULL,Apply_29,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_61,NULL,Historic,false,App_61,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_62,NULL,Historic,true,App_62,GOB A 220,27,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Panchita,NULL,NULL,48.0,576,Application date,NULL,NULL,NULL,NULL,NULL
Bird_63,NULL,Historic,true,App_62,GOB A 231,28,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pretty,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_64,NULL,Historic,true,App_62,GOB A 232,28,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pauly,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_65,NULL,Call,false,App_65,NULL,NULL,Apply_31,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,Yes,5.0,60,Call date,Gifted,Unknown,Unknown,Chepito,Male,Behavior,5.0,60,Call date,true,NULL,Looks healthy,NULL,NULL
Bird_66,NULL,Call,false,App_66,NULL,NULL,NULL,NULL,NULL,SanIg,false,Flew away,13 yrs ago,San Antonio,Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0,84,Application date,NULL,NULL,NULL,NULL,NULL
Bird_67,NULL,Call,false,App_66,NULL,NULL,NULL,NULL,NULL,SanIg,false,Flew away,13 yrs ago,San Antonio,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.0,84,Application date,NULL,NULL,NULL,NULL,NULL
Bird_68,NULL,Historic,false,App_70,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_69,NULL,Historic,false,App_71,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_70,NULL,Call,false,App_72,NULL,NULL,NULL,NULL,NULL,SanIg,false,Died,2 years ago,Santa Elena,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,156.0,1872,Application date,NULL,NULL,NULL,NULL,NULL
Bird_71,NULL,Call,false,App_72,NULL,NULL,NULL,NULL,NULL,SanIg,false,Died,2 years ago,Santa Elena,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,156.0,1872,Application date,NULL,NULL,NULL,NULL,NULL
Bird_72,NULL,Call,true,App_73,CWP FD 798,15,NULL,NULL,NULL,SanIg,false,Gave it away,2 yrs ago,Santa Elena,Call date,Mary Contreras,Santa Elena,6057474,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,60.0,720,Application date,NULL,NULL,NULL,NULL,Gave it away to sister
Bird_73,NULL,Historic,false,App_74,NULL,NULL,Apply_33,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_74,NULL,Historic,false,App_77,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Polly,NULL,NULL,7 yrs,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_75,NULL,Historic,false,App_77,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Andy,NULL,NULL,5 yrs,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_76,NULL,Historic,false,App_77,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Lupe,NULL,NULL,5 yrs,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_77,NULL,Historic,false,App_78,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,4 mon,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_78,99.0,Historic,true,App_79,CWP FD 563,68,Apply_34,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
