eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
App_1671,Bird_1840,NO,NULL,NULL,NULL,Parrot,NULL,1.0,12.0,Application,NULL,12.0,1.0,Gifted,NULL,NULL,Cage,On porch,NULL,NULL,Caged on the porch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1672,Bird_1841,NO,NULL,NULL,2.0,Yellow-headed Parrot,UNKNOWN,16.0,192.0,Application,NULL,192.0,16.0,Gifted,NULL,NULL,Cage,Indoor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1672,Bird_1842,NO,NULL,NULL,2.0,Yellow-headed Parrot,UNKNOWN,16.0,192.0,Application,NULL,192.0,16.0,Gifted,NULL,NULL,Cage,Indoor,NULL,NULL,Sprite was taken care of by owner when the mother(previous owner) passed away on Dec 23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1673,Bird_1843,NO,NULL,NULL,NULL,Parrot,UNKNOWN,15.0,180.0,Application,NULL,180.0,15.0,Bought,Crooked Tree,Belize,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1673,Bird_1844,NO,NULL,NULL,NULL,Parrot,UNKNOWN,15.0,180.0,Application,NULL,180.0,15.0,Bought,Crooked Tree,Belize,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1674,Bird_1845,NO,NULL,NULL,NULL,parrot,NULL,1.0,12.0,Application,NULL,12.0,1.0,Other- Not specified,NULL,NULL,Free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1675,Bird_1846,NO,NULL,NULL,2.0,Yellow-headed Parrot,Female,18.0,216.0,Application,NULL,180.0,15.0,Rescued,NULL,NULL,Free,NULL,NULL,NULL,Borito was abandoned by previous owner,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1675,Bird_1847,NO,NULL,NULL,2.0,Yellow-headed Parrot,Female,14.0,168.0,Application,NULL,168.0,14.0,Gifted,NULL,NULL,Free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1675,Bird_1848,NO,NULL,NULL,1.0,Red-lored Parrot,Female,10.0,120.0,Application,NULL,120.0,10.0,Gifted,NULL,NULL,Free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1676,Bird_1849,NO,NULL,NULL,2.0,Yellow-headed Parrot,NULL,1.0,12.0,Application,NULL,12.0,1.0,Rescued,NULL,NULL,Free/Caged,NULL,NULL,NULL,Rescued from fire in Unitedville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1676,Bird_1850,NO,NULL,NULL,1.0,Red-lored Parrot,NULL,1.0,12.0,Application,NULL,12.0,1.0,Rescued,NULL,NULL,Free/Caged,NULL,NULL,NULL,Rescued from fire in Unitedville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1676,Bird_1851,NO,NULL,NULL,1.0,Red-lored Parrot,NULL,1.0,12.0,Application,NULL,12.0,1.0,Rescued,NULL,NULL,Free/Caged,NULL,NULL,NULL,Rescued from fire in Unitedville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
