eri_application_id,application_id,info_source,applicant_id_eri,applicant_id,status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_43,CZL 36,Historic,App_104,337,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_44,NULL,Call,App_105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,It was an easy process.,NULL
Apply_45,CZL 121,Call,App_106,NULL,NULL,NULL,2016-09-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_46,NULL,Historic,App_108,295,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_47,NULL,Call,App_111,NULL,NULL,NULL,NULL,NULL,true,They asked her to go to the office but she did not.,NULL,NULL,NULL,NULL,NULL
Apply_48,CZL 17,Historic,App_113,NULL,NULL,NULL,2014-12-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_49,NULL,Call,App_114,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Good but expected to hear back and didn't,NULL
Apply_50,NULL,Historic,App_115,250,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_51,NULL,Call,App_116,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,U,NULL
Apply_52,NULL,Historic,App_119,270,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_53,NULL,Historic,App_121,346,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_54,NULL,Historic,App_123,264,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_55,CZL 38,Historic,App_126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_56,NULL,Historic,App_129,288,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_58,NULL,Historic,App_131,266,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_59,NULL,Historic,App_133,75,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_60,CZL 50,Historic,App_134,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_61,CZL 49,Historic,App_137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_62,NULL,Call,App_143,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Good,NULL
Apply_64,NULL,Call,App_151,195,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,straightforward,NULL
Apply_66,NULL,Historic,App_154,226,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_67,NULL,Historic,App_156,274,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_68,CZL 143,Historic,App_157,NULL,NULL,NULL,2016-10-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_69,BMP 49,Historic,App_161,NULL,NULL,NULL,2014-12-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_70,NULL,Historic,App_164,103,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_71,NULL,Historic,App_166,218,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_72,CZL 117,Historic,App_167,NULL,NULL,NULL,2016-09-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_73,NULL,Historic,App_168,297,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_74,NULL,Historic,App_173,220,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_75,CZL 70,Historic,App_174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_76,CZL 150*,Historic,App_175,341,Permit Awarded,Orange Walk,2016-11-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_77,CZL 11,Historic,App_179,NULL,NULL,NULL,2015-16-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_79,NULL,Historic,App_183,243,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_80,CZL 30,Historic,App_184,NULL,NULL,NULL,2014-07-04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_83,BMP 73,Historic,App_188,NULL,NULL,NULL,2015-02-27,true,true,Closed,false,NULL,NULL,NULL,Plans to submit another application soon
Apply_84,NULL,Call,App_193,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Was expecting to recieve a permit but didn't,NULL
Apply_85,NULL,Historic,App_194,105,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_86,CZL 56,Historic,App_195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_87,NULL,Historic,App_199,241,NULL,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_89,NULL,Call,App_212,NULL,NULL,NULL,NULL,NULL,true,FD went to his home once but he wasn't there,NULL,NULL,NULL,Was okay,NULL
Apply_90,BMP 32,Historic,App_215,NULL,Permit Awarded,NULL,2014-12-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_91,NULL,Historic,App_220,388,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_92,NULL,Call,App_224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Miss Pulido stated she has a permit, but also that the bird doesnt have a band and the FD didn't do any inspection."
Apply_93,CZL 112,Historic,App_229,NULL,NULL,NULL,2016-09-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_94,NULL,Historic,App_234,331,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_95,NULL,Historic,App_234,331,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_96,NULL,Historic,App_235,249,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_97,BMP 84,Historic,App_237,NULL,NULL,NULL,2015-05-26,true,true,Owner moved,false,NULL,NULL,NULL,NULL
Apply_98,NULL,Call,App_239,299,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Good,NULL
Apply_99,CZL 104,Historic,App_240,NULL,NULL,NULL,2016-09-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_100,CZL 13,Historic,App_243,NULL,NULL,NULL,2014-11-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_101,CZL 99,Historic,App_246,NULL,NULL,NULL,2016-07-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_102,NULL,Historic,App_247,215,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_103,CZL 14,Historic,App_249,NULL,NULL,NULL,2014-12-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_105,BMP 25,Call,App_255,NULL,NULL,NULL,2014-12-19,NULL,false,NULL,NULL,NULL,NULL,NULL,NULL
Apply_106,NULL,Call,App_256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Uncertain how his name is in the database. He didnt apply. His friend gave him the bird already banded.
Apply_107,NULL,Call,App_258,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Good, no issues",NULL
Apply_109,NULL,Call,App_264,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Straightforward,NULL
Apply_110,BZ 54,Historic,App_265,314,Permit Awarded,Belmopan,2016-09-28,true,true,Approved after probation,false,NULL,NULL,NULL,NULL
Apply_111,NULL,Historic,App_270,289,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_112,NULL,Historic,App_271,329,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_113,NULL,Call,App_276,104,NULL,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Good,NULL
Apply_115,NULL,Historic,App_280,232,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_116,NULL,Historic,App_282,217,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_117,NULL,Call,App_286,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,FD said the would follow up but didn't,NULL
Apply_118,NULL,Historic,App_291,223,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_119,NULL,Historic,App_292,101,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_120,CZL 115,Historic,App_293,NULL,NULL,NULL,2016-09-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_121,NULL,Call,App_294,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,took a while,NULL
Apply_122,CZL 94,Historic,App_298,NULL,NULL,NULL,2016-06-08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
