permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
380,171,2024 FD Database,App_123,264,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
381,172,2024 FD Database,App_1062,265,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
382,173,2024 FD Database,App_131,266,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-08,Active,1,
383,174,2024 FD Database,App_1216,267,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-18,Active,1,
384,175,2024 FD Database,App_641,268,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-18,Active,1,
385,176,2024 FD Database,App_401,269,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-18,Active,1,
386,177,2024 FD Database,App_119,270,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-18,Active,1,
387,178,2024 FD Database,App_1112,271,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-09,Active,1,
388,179,2024 FD Database,App_1028,272,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-09,Active,1,
389,180,2024 FD Database,App_970,273,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-09,Active,2,
390,,Historic,App_831,,,,,,2017-08-09,,2,
391,181,Historic,App_811,,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-09,,2,
392,182,2024 FD Database,App_990,275,Active,,San Ignacio,FD/GEN/42/3/14,2017-08-09,Active,1,
393,183,2024 FD Database,App_570,276,Active,,San Ignacio,393.0,2017-10-20,Active,1,
394,184,2024 FD Database,App_891,277,Active,,San Ignacio,394.0,2017-10-20,Active,1,
395,185,2024 FD Database,App_1143,278,Active,,San Ignacio,FD/GEN/42/3/14,2017-10-20,Active,1,
396,186,2024 FD Database,App_455,279,Active,,San Ignacio,FD/GEN/42/3/14,2017-10-20,Active,1,Applicant lost permit and cannot confirm band number
397,187,2024 FD Database,App_1257,280,Active,,San Ignacio,FD/GEN/42/3/14,2017-11-14,Active,1,
398,188,2024 FD Database,App_873,281,Active,,San Ignacio,FD/GEN/42/3/14,2017-12-15,Active,1,
399,189,2024 FD Database,App_1106,282,Active,,San Ignacio,FD/GEN/42/3/14,2017-12-15,Active,1,
400,190,2024 FD Database,App_414,283,Active,,San Ignacio,FD/GEN/42/3/14,2017-12-15,Active,1,
402,,Historic,App_215,,,,,,2016-12-01,,1,
403,,Call,App_818,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2016-01-12,,1,No number for band on permit
404,,Historic,App_180,,,,,,2016-12-01,,2,
405,,Historic,App_33,,,,,,2016-12-01,,1,
406,,Historic,App_843,,,,,,2016-01-20,,3,
407,,Historic,App_1196,,,,,,2016-01-20,,1,
408,,Historic,App_731,,,,,,2016-01-20,,1,
409,,Historic,App_1045,,,,,,2016-01-20,,1,
410,,Historic,App_44,,,,,,2016-01-25,,1,New parrot does not have permit; this is for previous parrot
411,,Historic,App_1108,,,,,,2016-01-25,,2,
412,,Historic,App_230,,,,,,2016-01-25,,1,
413,,Historic,App_472,,,,,,2016-01-25,,1,
415,,Historic,App_858,,,,,,2016-08-02,,1,
417,,Call,App_744,,,,,,2016-08-02,,2,"It has been so long that she doesn't recall if she got any permit, and if she did, she lost it. More than likely she did though because the other bird that flew away was banded."
418,,Historic,App_283,,,,,,2016-08-02,,2,
419,,Historic,App_525,,,,,,2016-08-02,,1,
420,,Historic,App_1111,,,,,,2016-09-02,,1,
421,,Historic,App_213,,,,,,2016-09-02,,1,
422,,Historic,App_403,,,,,,2016-09-02,,1,
423,,Historic,App_406,,,,,,2016-04-18,,1,
424,,Historic,App_817,,,,,,2016-04-18,,1,
425,,Historic,App_135,,,,,,2016-04-18,,1,
426,,Historic,App_723,,,,,,2016-04-18,,2,
427,,Historic,App_1193,,,,,,2016-04-18,,1,
428,,Historic,App_1100,,,,,,2016-04-18,,1,
451,191,2024 FD Database,App_711,284,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
452,238,2024 FD Database,App_234,331,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
453,239,2024 FD Database,App_933,332,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
454,240,2024 FD Database,App_1063,333,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
455,241,2024 FD Database,App_14,334,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
456,242,2024 FD Database,App_571,335,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
457,258,2024 FD Database,App_571,335,Active,,Orange Walk,FD/GEN/42/3/14,,Suspended,2,
458,243,2024 FD Database,App_897,336,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
459,244,2024 FD Database,App_104,337,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
460,245,2024 FD Database,App_643,338,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
461,246,2024 FD Database,App_1005,339,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
462,247,2024 FD Database,App_351,340,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
463,248,2024 FD Database,App_175,341,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
464,249,2024 FD Database,App_1333,342,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
465,250,2024 FD Database,App_1210,343,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
466,251,2024 FD Database,App_1334,344,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
467,252,2024 FD Database,App_475,345,Active,,Orange Walk,FD/GEN/42/3/14,,,1,
468,253,2024 FD Database,App_121,346,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
469,254,2024 FD Database,App_621,347,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
470,255,2024 FD Database,App_365,348,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
471,256,2024 FD Database,App_440,349,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
472,257,2024 FD Database,App_1335,350,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
474,259,2024 FD Database,App_1336,352,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
475,260,2024 FD Database,App_1567,353,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
476,261,2024 FD Database,App_913,354,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
477,262,Historic,App_355,,Active,,Orange Walk,FD/GEN/42/3/14,,,1,
478,263,2024 FD Database,App_1019,356,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
479,264,2024 FD Database,App_642,357,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
480,265,2024 FD Database,App_1338,358,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
481,266,2024 FD Database,App_1336,352,Active,,Orange Walk,FD/GEN/42/3/14,,,1,
484,267,2024 FD Database,App_95,360,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
486,268,2024 FD Database,App_1339,361,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
487,269,2024 FD Database,App_392,362,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
488,270,2024 FD Database,App_648,363,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Orange Walk,FD/GEN/42/3/14,2019-03-25,Active,1,
489,271,Historic,App_1340,,Active,,Orange Walk,FD/GEN/42/3/14,,,2,
490,272,2024 FD Database,App_371,365,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
491,273,2024 FD Database,App_1341,366,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
492,274,2024 FD Database,App_1342,367,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
493,275,2024 FD Database,App_1343,368,Active,,Orange Walk,FD/GEN/42/3/14,,Active,1,
494,276,2024 FD Database,App_1344,369,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
496,,Historic,App_1561,,,,,,2020-08-05,,1,
951,,Call,App_1522,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2023-06-21,,2,
952,,Call,App_1523,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2024-02-13,,1,
953,,Historic,App_1524,,,,,,2024-02-13,,1,
1201,277,2024 FD Database,App_1345,370,Active,,Belmopan,CW-P-0001,,Active,1,
1202,,Call,App_965,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2021-11-11,,1,Pemit has a few mistakes. No band number was written.
1204,278,2024 FD Database,App_1346,371,Active,,Belmopan,CW-P-0001,,Active,1,
1205,279,2024 FD Database,App_1347,372,Active,,Belmopan,CW-P-0001,,Active,2,
1206,280,2024 FD Database,App_1348,373,Active,,Belmopan,CW-P-0001,,Active,2,
1207,281,2024 FD Database,App_1348,373,Active,,Belmopan,CW-P-0001,,,2,
1208,282,2024 FD Database,App_1348,373,Active,,Belmopan,CW-P-0001,,,1,
1209,283,2024 FD Database,App_1349,376,Active,,Belmopan,CW-P-0001,,Active,2,
1210,284,2024 FD Database,App_849,377,Active,,Orange Walk,CW-P-0001,,Inactive,1,
1211,285,2024 FD Database,App_849,377,Active,,Orange Walk,CW-P-0001,,Active,1,
1212,286,2024 FD Database,App_365,348,Active,,Orange Walk,CW-P-0001,,Active,2,
1213,287,2024 FD Database,App_1350,380,Active,,Belmopan,CW-P-0001,,Active,1,
1214,288,2024 FD Database,App_36,381,Active,,Belmopan,CW-P-0001,,Active,1,
1215,289,2024 FD Database,App_1351,382,Active,,Belmopan,CW-P-0001,,Active,2,
1216,290,2024 FD Database,App_1354,383,Active,,Belmopan,CW-P-0001,,Active,2,
1217,291,2024 FD Database,App_1353,384,Active,,Orange Walk,CW-P-0001,,Active,2,
1218,292,2024 FD Database,App_1354,383,Active,,Belmopan,CW-P-0001,,Active,1,
1220,293,2024 FD Database,App_1355,386,Active,,Savannah,CW-P-0001,,Active,2,
1221,294,2024 FD Database,App_802,387,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Belmopan,CW-P-0001,2023-02-14,Active,1,
1222,301,2024 FD Database,App_1361,394,Active,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,Belmopan,CW-P-0001,,Active,3,
1223,295,2024 FD Database,App_220,388,Active,,Belmopan,CW-P-0001,,Active,2,
1224,296,2024 FD Database,App_1356,389,Active,,Orange Walk,CW-P-0001,,Active,3,
1225,297,2024 FD Database,App_1357,390,Active,,Belmopan,CW-P-0001,,Active,1,
1226,298,2024 FD Database,App_1358,391,Active,,Orange Walk,CW-P-0001,,Active,1,
1227,299,2024 FD Database,App_1359,392,Active,,Belmopan,CW-P-0001,,Active,1,
1228,300,2024 FD Database,App_1360,393,Active,,Orange Walk,CW-P-0001,,Active,1,
1229,,Call,App_1093,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2023-06-23,,2,
1245,,Call,App_1201,,,https://drive.google.com/drive/folders/1-28flgc4CUAgCjiRNZm5YT1cJvi51Fmz?usp=drive_link,,,2023-11-07,,1,
