permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
32,80,Historic,App_757,,,,Savannah,,2019-09-30,,1,
32,80,2024 FD Database,App_1291,118,Active,,Savannah,FD/GEN/42/3/14,,Active,1,
33,81,Historic,App_112,,,,Savannah,,2020-07-02,,1,
33,81,2024 FD Database,App_1292,119,Active,,Savannah,FD/GEN/42/3/14,,Active,1,
34,82,Historic,App_107,,,,Savannah,,2020-05-03,,1,
34,82,2024 FD Database,App_1293,120,Active,,Savannah,FD/GEN/42/3/14,,Active,1,
35,83,Historic,App_10,,,,Savannah,,2020-05-03,,1,
35,83,2024 FD Database,App_1294,121,Processing,,Savannah,FD/GEN/42/3/14,,Processing,4,
36,84,Historic,App_223,,,,Savannah,,2020-12-05,,1,
36,84,2024 FD Database,App_1295,122,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,2,
37,85,Historic,App_493,,,,Savannah,,2020-12-18,,2,
37,85,2024 FD Database,App_1296,123,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,1,
38,86,Historic,App_1243,,,,Savannah,,2020-12-17,,1,
38,86,2024 FD Database,App_1305,124,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,2,
39,87,Historic,App_876,,,,Savannah,,2020-12-18,,1,
39,87,2024 FD Database,App_1298,125,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,2,
40,88,Historic,App_924,,,,Savannah,,2020-12-18,,2,
40,88,2024 FD Database,App_1299,126,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,1,
41,89,Historic,App_924,,,,Savannah,,2020-12-18,,1,
41,89,2024 FD Database,App_1300,127,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,0,
43,90,2024 FD Database,App_1301,128,Suspended,,Savannah,FD/GEN/42/3/14,,Suspended,3,
44,91,Historic,App_719,,,,Belmopan,,2020-12-18,,1,
44,91,2024 FD Database,App_749,91,Suspended,,Belmopan,FD/GEN/42/3/14,,,2,
45,92,2024 FD Database,App_49,93,Processing,,Belmopan,FD/GEN/42/3/14,,Processing,1,
46,93,2024 FD Database,App_1283,92,Active,,Orange Walk,FD/GEN/42/3/14,,,1,
47,94,2024 FD Database,App_1447,99,Suspended,,Orange Walk,FD/GEN/42/3/14,,,1,
48,95,2024 FD Database,App_1302,133,Active,,Orange Walk,FD/GEN/42/3/14,,Active,2,
48,95,Historic,App_1564,,,,Orange Walk,,,,2,
49,96,"2024 FD Database, Historic",App_187,,Suspended,,Orange Walk,FD/GEN/42/3/14,,,1,
50,97,"2024 FD Database, Call",App_1158,135,Suspended,,Orange Walk,FD/GEN/42/3/14,,Suspended,1,Permit lost by applicant
