inspection_id_eri,preconditions_id,officer_id_eri,applicant_id_eri,report_date,approx_report_date,when_approx_report_date_provided,birds_described,hand_tame,date_acquired,approx_date_acquired,less_12_months_acquired,instructions_for_applicant,expected_recheck,preconditions_comments
Inspection_77,,,App_891,,NA,NA,,,,,,,,NA
Inspection_78,,,App_899,,NA,NA,,,,,,,,NA
Inspection_79,,,App_918,,NA,NA,,,,,,,,NA
Inspection_80,,,App_965,,NA,NA,,,,,,,,NA
Inspection_81,,,App_968,,NA,NA,,,,,,,,NA
Inspection_82,,,App_988,,NA,NA,,,,,,,,NA
Inspection_83,,,App_991,,NA,NA,,,,,,,,NA
Inspection_84,,,App_1008,,NA,NA,,,,,,,,NA
Inspection_85,,,App_1018,,NA,NA,,,,,,,,NA
Inspection_86,,,App_1036,,NA,NA,,,,,,,,NA
Inspection_87,,,App_1062,,NA,NA,,,,,,,,NA
Inspection_88,,,App_1071,,NA,NA,,,,,,,,NA
Inspection_89,,,App_1072,,NA,NA,,,,,,,,NA
Inspection_90,,,App_1073,,NA,NA,,,,,,,,NA
Inspection_91,,,App_1093,,NA,NA,,,,,,,,NA
Inspection_92,,,App_1122,,NA,NA,,,,,,,,NA
Inspection_93,,,App_1133,,NA,NA,,,,,,,,NA
Inspection_94,,,App_1142,,NA,NA,,,,,,,,NA
Inspection_95,,,App_1158,,NA,NA,,,,,,,,NA
Inspection_96,,,App_1177,,NA,NA,,,,,,,,NA
Inspection_97,,,App_1179,,10 years ago,Call date,,,,,,,,NA
Inspection_98,,,App_1197,,NA,NA,,,,,,,,NA
Inspection_99,,,App_1201,,NA,NA,,,,,,,,NA
Inspection_100,,,App_1215,,NA,NA,,,,,,,,NA
Inspection_101,,,App_1316,,NA,NA,,,,,,,,NA
Inspection_102,,,App_1326,,NA,NA,,,,,,,,NA
Inspection_103,,,App_1328,,NA,NA,,,,,,,,NA
Inspection_104,,,App_1351,,NA,NA,,,,,,,,NA
Inspection_105,,,App_1356,,NA,NA,,,,,,,,NA
Inspection_106,,,App_1361,,NA,NA,,,,,,,,NA
Inspection_107,,,App_1438,,NA,NA,,,,,,,,NA
Inspection_108,,,App_1443,,NA,NA,,,,,,,,NA
Inspection_109,,,App_1493,,NA,NA,,,,,,,,NA
Inspection_110,,,App_1522,,NA,NA,,,,,,,,NA
Inspection_111,,,App_1523,,NA,NA,,,,,,,,NA
Inspection_112,,,App_1535,,6 months ago,Call date,,,,,,,,NA
Inspection_113,,,App_1606,,NA,NA,,,,,,,,NA
Inspection_114,,,App_1640,,NA,NA,,,,,,,,NA
